DE LEON, LISSA (30991) --> 2017-11-19 10:34:36 --> authentication --> logout --> logout -->  --> 
() --> 2017-11-19 10:34:37 --> authentication --> logout --> logout -->  --> 
Admin, Teemworx (admin) --> 2017-11-19 10:35:14 --> authentication --> login --> login -->  --> 
Admin, Teemworx (admin) --> 2017-11-19 11:03:18 --> module --> insert --> short_name -->  --> Import 201
Admin, Teemworx (admin) --> 2017-11-19 11:03:18 --> module --> insert --> long_name -->  --> Import 201
Admin, Teemworx (admin) --> 2017-11-19 11:03:18 --> module --> insert --> description -->  --> fa-user
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> mod_code -->  --> import201
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> route -->  --> admin/import201
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> table -->  --> users
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> primary_key -->  --> user_id
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> list_template_header -->  --> &nbsp;
Admin, Teemworx (admin) --> 2017-11-19 11:05:43 --> module --> update --> list_template -->  --> &nbsp;
Admin, Teemworx (admin) --> 2017-11-19 11:09:32 --> menu_manager --> insert --> label -->  --> Import 201
Admin, Teemworx (admin) --> 2017-11-19 11:09:32 --> menu_manager --> insert --> parent_menu_item_id -->  --> 2
Admin, Teemworx (admin) --> 2017-11-19 11:09:32 --> menu_manager --> insert --> menu_item_type_id -->  --> 1
Admin, Teemworx (admin) --> 2017-11-19 11:09:32 --> menu_manager --> insert --> mod_id -->  --> 262
Admin, Teemworx (admin) --> 2017-11-19 11:11:01 --> profiles --> edit --> profile_id -->  --> 1
Admin, Teemworx (admin) --> 2017-11-19 11:11:01 --> profiles --> edit --> mod_id -->  --> 4
Admin, Teemworx (admin) --> 2017-11-19 11:11:01 --> profiles --> edit --> sensitivity_id -->  --> 4
Admin, Teemworx (admin) --> 2017-11-19 11:11:01 --> profiles --> edit --> value -->  --> on
Admin, Teemworx (admin) --> 2017-11-19 11:11:02 --> profiles --> edit --> profile_id -->  --> 1
