2017-10-30 11:04:03 --> authentication --> login --> login -->  --> 
2017-10-30 03:39:34 --> applicants --> delete --> recruitment_personal_history - recruit_id --> 1 --> 
2017-10-30 03:39:34 --> applicants --> insert --> recruit_id -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_id -->  --> 198
2017-10-30 03:39:34 --> applicants --> insert --> key -->  --> friend-relative-employee
2017-10-30 03:39:34 --> applicants --> insert --> sequence -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_name -->  --> Employee
2017-10-30 03:39:34 --> applicants --> insert --> key_value -->  --> 787
2017-10-30 03:39:34 --> applicants --> delete --> recruitment_personal_history - recruit_id --> 1 --> 
2017-10-30 03:39:34 --> applicants --> insert --> recruit_id -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_id -->  --> 199
2017-10-30 03:39:34 --> applicants --> insert --> key -->  --> friend-relative-position
2017-10-30 03:39:34 --> applicants --> insert --> sequence -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_name -->  --> Position
2017-10-30 03:39:34 --> applicants --> insert --> key_value -->  --> asdf
2017-10-30 03:39:34 --> applicants --> delete --> recruitment_personal_history - recruit_id --> 1 --> 
2017-10-30 03:39:34 --> applicants --> insert --> recruit_id -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_id -->  --> 200
2017-10-30 03:39:34 --> applicants --> insert --> key -->  --> friend-relative-dept
2017-10-30 03:39:34 --> applicants --> insert --> sequence -->  --> 1
2017-10-30 03:39:34 --> applicants --> insert --> key_name -->  --> Department
2017-10-30 03:39:34 --> applicants --> insert --> key_value -->  --> asdf
2017-10-30 03:39:34 --> applicants --> delete --> recruitment_personal_history - recruit_id --> 1 --> 
2017-10-30 03:39:35 --> applicants --> insert --> recruit_id -->  --> 1
2017-10-30 03:39:35 --> applicants --> insert --> key_id -->  --> 201
2017-10-30 03:39:35 --> applicants --> insert --> key -->  --> friend-relative-relation
2017-10-30 03:39:35 --> applicants --> insert --> sequence -->  --> 1
