2017-03-09 19:37:45 --> authentication --> login --> login -->  --> 
2017-03-09 21:24:01 --> company --> insert --> company -->  --> Company 123
2017-03-09 21:24:01 --> company --> insert --> company_code -->  --> q1212
2017-03-09 21:24:01 --> company --> insert --> address -->  --> asd
2017-03-09 21:24:01 --> company --> insert --> city_id -->  --> 16
2017-03-09 21:24:01 --> company --> insert --> city -->  --> updated by trigger
2017-03-09 21:24:01 --> company --> insert --> country_id -->  --> 17
2017-03-09 21:24:01 --> company --> insert --> country -->  --> updated by trigger
2017-03-09 21:24:01 --> company --> insert --> zipcode -->  --> 1605
2017-03-09 21:24:01 --> company --> insert --> company_id -->  --> 3
2017-03-09 21:24:01 --> company --> insert --> contact_type -->  --> Phone
2017-03-09 21:24:01 --> company --> insert --> company_id -->  --> 3
2017-03-09 21:24:01 --> company --> insert --> contact_type -->  --> Mobile
2017-03-09 21:24:01 --> company --> insert --> company_id -->  --> 3
2017-03-09 21:24:01 --> company --> insert --> contact_type -->  --> Fax
2017-03-09 21:30:13 --> company --> insert --> company -->  --> asdf
2017-03-09 21:30:13 --> company --> insert --> company_code -->  --> asdfasdfasdfasd
2017-03-09 21:30:13 --> company --> insert --> address -->  --> asdfasd
2017-03-09 21:30:13 --> company --> insert --> city_id -->  --> 3
2017-03-09 21:30:13 --> company --> insert --> city -->  --> updated by trigger
2017-03-09 21:30:13 --> company --> insert --> country_id -->  --> 3
2017-03-09 21:30:13 --> company --> insert --> country -->  --> updated by trigger
2017-03-09 21:30:13 --> company --> insert --> zipcode -->  --> wer
2017-03-09 21:30:13 --> company --> insert --> company_id -->  --> 4
2017-03-09 21:30:13 --> company --> insert --> contact_type -->  --> Phone
2017-03-09 21:30:13 --> company --> insert --> company_id -->  --> 4
2017-03-09 21:30:13 --> company --> insert --> contact_type -->  --> Mobile
2017-03-09 21:30:13 --> company --> insert --> company_id -->  --> 4
2017-03-09 21:30:13 --> company --> insert --> contact_type -->  --> Fax
2017-03-09 21:40:35 --> company --> insert --> company -->  --> dd
2017-03-09 21:40:36 --> company --> insert --> company_code -->  --> dd
2017-03-09 21:40:36 --> company --> insert --> address -->  --> dd
2017-03-09 21:40:36 --> company --> insert --> city_id -->  --> 15
2017-03-09 21:40:36 --> company --> insert --> city -->  --> updated by trigger
2017-03-09 21:40:36 --> company --> insert --> country_id -->  --> 15
2017-03-09 21:40:36 --> company --> insert --> country -->  --> updated by trigger
2017-03-09 21:40:36 --> company --> insert --> zipcode -->  --> aa
2017-03-09 21:40:36 --> company --> insert --> company_id -->  --> 5
2017-03-09 21:40:36 --> company --> insert --> contact_type -->  --> Phone
2017-03-09 21:40:36 --> company --> insert --> company_id -->  --> 5
2017-03-09 21:40:36 --> company --> insert --> contact_type -->  --> Mobile
2017-03-09 21:40:36 --> company --> insert --> company_id -->  --> 5
2017-03-09 21:40:36 --> company --> insert --> contact_type -->  --> Fax
2017-03-09 21:41:05 --> company --> delete --> company_id --> 5 --> 
2017-03-09 22:06:12 --> company --> insert --> company -->  --> asdf
2017-03-09 22:06:12 --> company --> insert --> company_code -->  --> dd
2017-03-09 22:06:12 --> company --> insert --> address -->  --> asdfasdf
2017-03-09 22:06:12 --> company --> insert --> city_id -->  --> 16
2017-03-09 22:06:12 --> company --> insert --> city -->  --> updated by trigger
2017-03-09 22:06:12 --> company --> insert --> country_id -->  --> 11
2017-03-09 22:06:12 --> company --> insert --> country -->  --> updated by trigger
2017-03-09 22:06:12 --> company --> insert --> zipcode -->  --> asdfasdf
2017-03-09 22:06:12 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:12 --> company --> insert --> contact_type -->  --> Phone
2017-03-09 22:06:12 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:12 --> company --> insert --> contact_type -->  --> Mobile
2017-03-09 22:06:12 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:12 --> company --> insert --> contact_type -->  --> Fax
2017-03-09 22:06:27 --> company --> update --> company_code --> dd --> asdf
2017-03-09 22:06:27 --> company --> update --> city --> Bais City --> updated by trigger
2017-03-09 22:06:27 --> company --> update --> country --> Argentina --> updated by trigger
2017-03-09 22:06:27 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:27 --> company --> insert --> contact_type -->  --> Phone
2017-03-09 22:06:27 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:27 --> company --> insert --> contact_type -->  --> Mobile
2017-03-09 22:06:27 --> company --> insert --> company_id -->  --> 16
2017-03-09 22:06:27 --> company --> insert --> contact_type -->  --> Fax
2017-03-09 22:10:55 --> division --> insert --> division -->  --> jjj
2017-03-09 22:10:55 --> division --> insert --> division_code -->  --> d4
2017-03-09 22:10:59 --> division --> update --> status_id --> 0 --> 1
2017-03-09 22:11:19 --> division --> delete --> division_id --> 5 --> 
2017-03-09 22:13:12 --> division --> insert --> division -->  --> kjhkjh
2017-03-09 22:13:12 --> division --> insert --> division_code -->  --> d4
2017-03-09 22:13:31 --> division --> insert --> division -->  --> kjlj
2017-03-09 22:13:31 --> division --> insert --> division_code -->  --> d3
